                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.76824,                 0.5746,                 1.1214,                0.98496,                0.98427,                0.99146,                0.74012,                0.84976,                0.39766,                 1.1772,              0.0002192,              0.0002192,              0.0002192
                     72,                0.76338,                0.57116,                 1.1197,                0.97996,                 0.9811,                0.98904,                0.72062,                0.89542,                0.40641,                 1.2089,             0.00021213,             0.00021213,             0.00021213
                     73,                0.76044,                0.56551,                 1.1195,                0.98511,                0.98174,                0.99037,                0.73281,                0.87861,                0.39926,                 1.1992,             0.00020506,             0.00020506,             0.00020506
                     74,                0.75832,                 0.5676,                 1.1141,                0.94792,                 0.9615,                0.98105,                0.70543,                0.90055,                0.43272,                 1.2111,             0.00019799,             0.00019799,             0.00019799
                     75,                0.75654,                0.56735,                 1.1155,                0.97861,                0.97886,                0.98839,                0.74214,                  0.846,                0.41165,                 1.1719,             0.00019092,             0.00019092,             0.00019092
                     76,                0.75327,                0.56254,                 1.1117,                0.98183,                0.98232,                0.98817,                0.71663,                0.88651,                0.42081,                 1.2045,             0.00018385,             0.00018385,             0.00018385
                     77,                0.74987,                0.55681,                 1.1064,                0.98002,                0.98397,                0.99061,                0.73378,                0.86773,                0.41553,                 1.1855,             0.00017679,             0.00017679,             0.00017679
                     78,                0.74301,                0.54963,                 1.1063,                0.98606,                0.98751,                0.99095,                0.71392,                 0.8998,                0.41453,                 1.2127,             0.00016972,             0.00016972,             0.00016972
                     79,                0.74577,                0.55408,                 1.1087,                0.98148,                0.98565,                0.99002,                0.71411,                0.89598,                0.41507,                 1.2083,             0.00016265,             0.00016265,             0.00016265
                     80,                0.74836,                0.55154,                  1.108,                 0.9881,                0.98963,                0.99178,                0.72653,                0.88508,                0.41117,                 1.1936,             0.00015558,             0.00015558,             0.00015558
                     81,                0.74663,                0.54883,                 1.1044,                 0.9694,                 0.9759,                0.98601,                0.70887,                0.90236,                0.41808,                 1.2227,             0.00014851,             0.00014851,             0.00014851
                     82,                0.73265,                0.54321,                 1.0973,                0.98029,                0.98827,                 0.9911,                0.72199,                0.88611,                0.40996,                 1.2033,             0.00014144,             0.00014144,             0.00014144
                     83,                0.73073,                 0.5458,                 1.0998,                 0.9832,                0.98767,                0.99051,                0.72935,                0.86879,                0.40321,                 1.1899,             0.00013437,             0.00013437,             0.00013437
                     84,                 0.7291,                0.54976,                 1.0995,                0.98063,                0.98145,                0.98925,                0.72932,                0.86936,                0.41091,                  1.198,             0.00012731,             0.00012731,             0.00012731
                     85,                0.73223,                0.54434,                 1.1025,                0.97975,                0.98106,                 0.9867,                0.71638,                0.88961,                0.40961,                 1.2104,             0.00012024,             0.00012024,             0.00012024
                     86,                0.72543,                0.53803,                 1.0916,                0.98805,                0.99042,                0.99028,                0.73132,                0.86448,                 0.4013,                 1.1861,             0.00011317,             0.00011317,             0.00011317
                     87,                0.72613,                0.53914,                 1.0944,                0.97143,                0.96875,                 0.9888,                0.72096,                0.89002,                0.41499,                 1.2004,              0.0001061,              0.0001061,              0.0001061
                     88,                0.72434,                0.53446,                 1.0915,                0.98463,                0.98504,                0.99044,                0.73397,                0.85478,                0.40377,                  1.181,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.72859,                0.53723,                 1.0943,                0.98847,                0.98705,                0.99076,                0.73514,                0.85917,                0.40072,                 1.1827,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.72446,                 0.5352,                 1.0932,                0.98035,                0.98653,                0.98986,                0.73791,                0.85506,                0.40316,                 1.1791,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                 0.6527,                0.37306,                 1.0471,                0.98511,                0.98871,                0.99093,                0.73517,                0.86704,                0.40438,                 1.1937,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.63912,                0.36813,                 1.0378,                0.98244,                0.98273,                0.98997,                0.74754,                0.83844,                0.40869,                 1.1687,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.63515,                0.36547,                 1.0324,                  0.979,                0.98172,                0.98936,                0.74575,                0.84384,                0.41311,                 1.1722,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.63176,                 0.3605,                  1.028,                0.97892,                0.98653,                0.99064,                0.73714,                0.85863,                0.41206,                 1.1851,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                  0.627,                0.36053,                 1.0272,                0.98186,                0.98432,                0.98976,                0.73989,                0.84965,                0.41427,                 1.1785,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.62679,                0.35795,                 1.0294,                0.97745,                0.98136,                0.98989,                0.74602,                0.84124,                0.41379,                 1.1688,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.62221,                0.35659,                 1.0282,                0.98275,                0.98449,                0.98931,                0.74048,                0.85257,                0.41648,                  1.177,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.61802,                0.35512,                 1.0191,                0.98598,                0.98589,                0.99028,                0.74244,                 0.8501,                0.40858,                 1.1759,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.61802,                0.35522,                 1.0204,                0.98564,                0.98799,                0.99063,                0.74586,                0.84148,                0.40663,                 1.1704,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                 0.6146,                0.34971,                   1.02,                0.98792,                0.98871,                0.99072,                0.74288,                0.84785,                0.40547,                 1.1751,             1.4209e-05,             1.4209e-05,             1.4209e-05
