                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.79215,                0.48946,                0.80806,                0.90751,                0.83099,                0.93013,                0.74108,                0.68493,                0.39479,                0.79764,               0.003961,               0.003961,               0.003961
                     63,                0.79318,                0.48764,                0.80695,                0.90764,                0.83142,                 0.9304,                0.74123,                0.68469,                 0.3942,                0.79756,               0.003862,               0.003862,               0.003862
                     64,                0.79229,                0.48854,                0.80785,                0.90825,                0.83134,                0.93053,                  0.741,                0.68548,                0.39388,                0.79756,               0.003763,               0.003763,               0.003763
                     65,                0.79274,                0.48682,                0.80789,                0.90877,                0.83094,                0.93073,                 0.7415,                0.68498,                0.39313,                0.79752,               0.003664,               0.003664,               0.003664
                     66,                0.78799,                0.48165,                0.80696,                0.91026,                 0.8303,                0.93098,                0.74147,                 0.6843,                0.39261,                0.79748,               0.003565,               0.003565,               0.003565
                     67,                0.78817,                0.48408,                0.80706,                0.91005,                0.83213,                0.93119,                0.74236,                0.68329,                0.39189,                 0.7974,               0.003466,               0.003466,               0.003466
                     68,                0.78474,                0.48018,                0.80631,                0.90957,                0.83264,                0.93137,                0.74358,                0.68187,                0.39125,                0.79726,               0.003367,               0.003367,               0.003367
                     69,                0.78102,                0.47889,                0.80626,                0.91022,                0.83314,                0.93154,                0.74455,                0.68024,                0.39089,                0.79712,               0.003268,               0.003268,               0.003268
                     70,                0.77949,                0.47858,                0.80566,                0.91102,                0.83321,                0.93177,                0.74556,                0.67871,                0.39012,                0.79703,               0.003169,               0.003169,               0.003169
                     71,                0.77811,                 0.4744,                0.80528,                0.91095,                0.83473,                0.93211,                0.74596,                0.67812,                0.38943,                0.79697,                0.00307,                0.00307,                0.00307
                     72,                0.77529,                0.47255,                0.80633,                0.91123,                0.83535,                0.93235,                0.74658,                0.67647,                 0.3887,                0.79687,               0.002971,               0.002971,               0.002971
                     73,                0.77372,                0.46887,                0.80407,                0.91151,                0.83562,                0.93275,                0.74779,                0.67423,                0.38791,                0.79678,               0.002872,               0.002872,               0.002872
                     74,                0.76942,                0.46982,                0.80531,                0.91222,                0.83595,                0.93291,                0.74819,                0.67356,                0.38711,                 0.7967,               0.002773,               0.002773,               0.002773
                     75,                 0.7766,                0.47242,                0.80484,                0.91243,                0.83626,                0.93327,                0.74897,                0.67269,                0.38671,                 0.7966,               0.002674,               0.002674,               0.002674
                     76,                0.76855,                0.46567,                0.80374,                0.91169,                0.83666,                 0.9334,                0.74915,                0.67157,                0.38601,                0.79654,               0.002575,               0.002575,               0.002575
                     77,                 0.7608,                0.46081,                0.80407,                0.91115,                0.83775,                0.93358,                0.74968,                0.67102,                0.38544,                0.79645,               0.002476,               0.002476,               0.002476
