                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.51173,                0.33711,                 0.8968,                0.88988,                0.86243,                0.94353,                0.80418,                0.63632,                0.42881,                0.84592,               0.001684,               0.001684,               0.001684
                     86,                0.50738,                0.33334,                0.89076,                0.88679,                0.86163,                0.94274,                0.80446,                0.63672,                0.42878,                0.84588,               0.001585,               0.001585,               0.001585
                     87,                0.50702,                0.33589,                0.89231,                0.88962,                0.86016,                0.94285,                 0.8052,                0.63688,                0.42821,                0.84585,               0.001486,               0.001486,               0.001486
                     88,                0.50634,                0.33243,                0.89122,                0.88813,                0.86089,                0.94317,                0.80566,                0.63537,                0.42735,                0.84526,               0.001387,               0.001387,               0.001387
                     89,                0.50246,                 0.3322,                0.89078,                  0.888,                0.86224,                0.94327,                0.80528,                0.63408,                 0.4261,                0.84482,               0.001288,               0.001288,               0.001288
                     90,                  0.501,                0.33077,                0.89073,                0.88769,                0.86167,                0.94339,                0.80556,                0.63355,                0.42487,                 0.8447,               0.001189,               0.001189,               0.001189
                     91,                0.53481,                0.31335,                0.93845,                0.88718,                0.86148,                0.94357,                0.80605,                0.63292,                0.42351,                0.84439,                0.00109,                0.00109,                0.00109
                     92,                0.52591,                0.30659,                0.93295,                0.89106,                0.86219,                0.94382,                0.80676,                0.63029,                0.42244,                0.84389,               0.000991,               0.000991,               0.000991
                     93,                0.52316,                0.30279,                0.93073,                0.89269,                0.86063,                0.94421,                0.80744,                0.62801,                0.42132,                0.84334,               0.000892,               0.000892,               0.000892
                     94,                0.51994,                0.30451,                0.92956,                0.88735,                0.86305,                0.94454,                0.80811,                0.62611,                0.42083,                0.84285,               0.000793,               0.000793,               0.000793
                     95,                0.51467,                0.30373,                0.92699,                0.88616,                0.86475,                0.94478,                0.80941,                0.62469,                0.41973,                0.84266,               0.000694,               0.000694,               0.000694
                     96,                0.51223,                  0.299,                0.92409,                0.89624,                0.86285,                0.94581,                0.81028,                0.62386,                 0.4192,                0.84235,               0.000595,               0.000595,               0.000595
                     97,                0.50722,                0.29697,                0.92073,                0.89589,                0.86372,                0.94609,                0.81135,                0.62186,                 0.4183,                0.84192,               0.000496,               0.000496,               0.000496
                     98,                0.50785,                 0.2943,                0.92452,                0.89458,                0.86542,                0.94618,                0.81161,                0.62089,                 0.4177,                0.84154,               0.000397,               0.000397,               0.000397
                     99,                0.50084,                0.29286,                0.92017,                0.89507,                 0.8654,                0.94638,                0.81255,                0.61948,                0.41749,                0.84121,               0.000298,               0.000298,               0.000298
                    100,                0.49811,                0.28985,                 0.9143,                0.89665,                0.86188,                 0.9465,                0.81256,                0.61854,                0.41746,                0.84094,               0.000199,               0.000199,               0.000199
